,Root f stat,Salinity f stat,Root p value,Salinity p value
ASV_116,1.074582527,34.4287632,0.999000999,0.000999001
ASV_30,0.912364495,31.30046443,0.999000999,0.000999001
ASV_27,0.942825607,31.32993317,0.999000999,0.000999001
ASV_302,0.587922086,45.30372667,0.999000999,0.000999001
ASV_9,0.234643474,50.18077679,1,0.000999001
ASV_689,0.030151467,29.94305318,1,0.000999001
ASV_284,0.037561416,68.94956566,1,0.000999001
ASV_140,0.411156538,35.89020316,1,0.000999001
ASV_25,0.251018308,39.66560449,1,0.000999001
ASV_12,0.093941561,63.03017952,1,0.000999001
ASV_60,0.026268705,29.69500088,1,0.000999001
ASV_20,0.131033158,71.66595804,1,0.000999001
ASV_553,0.023492163,38.14656979,1,0.000999001
ASV_36,0.125912159,63.84823986,1,0.000999001
ASV_573,0.130404278,28.34899585,1,0.000999001
ASV_409,0.083711569,38.59482275,1,0.000999001
ASV_16,0.328144114,32.07027877,1,0.000999001
ASV_967,0.014005921,32.38623424,1,0.000999001
ASV_691,0.015725628,31.58911408,1,0.000999001
ASV_445,0.424699518,62.2249918,1,0.000999001
ASV_17,0.065741243,27.1380577,1,0.001998002
ASV_615,0.560635953,25.32150316,0.999000999,0.002997003
ASV_80,0.080548446,25.38831957,1,0.002997003
ASV_56,0.440475265,26.36780931,1,0.002997003
ASV_4,0.124465519,23.99973908,1,0.003996004
ASV_65,0.742374444,23.21769199,0.999000999,0.005994006
ASV_31,0.002739002,22.3428736,1,0.007992008
ASV_608,0.953203447,21.85417926,0.999000999,0.008991009
ASV_101,1.029910559,20.25088698,0.999000999,0.014985015
ASV_578,0.322274555,20.32268352,1,0.014985015
ASV_33,1.391987932,18.69890492,0.999000999,0.026973027
ASV_260,0.003180162,18.55723865,1,0.028971029
ASV_1129,0.604555389,18.19731005,0.999000999,0.036963037
ASV_1623,0.000156597,17.0550889,1,0.047952048
ASV_115,0.196381144,16.8661337,1,0.051948052
ASV_485,0.00225981,15.43803029,1,0.081918082
ASV_97,1.414571183,14.42133604,0.999000999,0.110889111
ASV_32,0.142302703,14.06283171,1,0.128871129
ASV_663,0.827722645,13.29985274,0.999000999,0.162837163
ASV_501,1.042897275,13.0678793,0.999000999,0.168831169
ASV_50,1.123993988,12.91164544,0.999000999,0.17982018
ASV_104,0.513292621,12.08559566,0.999000999,0.24975025
ASV_43,5.551576709,11.56423958,0.806193806,0.290709291
ASV_73,1.98457111,11.2645618,0.997002997,0.31968032
ASV_28,0.189769756,10.74793573,1,0.36963037
ASV_23,0.691178609,10.3767204,0.999000999,0.406593407
ASV_6,0.000320555,10.25024034,1,0.418581419
ASV_21,1.998606487,9.594383291,0.997002997,0.477522478
ASV_351,1.340169924,8.942874513,0.999000999,0.575424575
ASV_49,0.795240847,8.741762854,0.999000999,0.601398601
ASV_1087,2.32348488,8.620138728,0.995004995,0.623376623
ASV_76,2.244298862,8.553250454,0.995004995,0.628371628
ASV_634,4.823798296,8.496964534,0.884115884,0.631368631
ASV_22,1.431749853,8.466229429,0.999000999,0.632367632
ASV_106,0.442899742,8.334742084,1,0.65034965
ASV_111,0.19668962,8.103040992,1,0.684315684
ASV_137,2.889162475,7.954916363,0.99000999,0.706293706
ASV_48,2.121962457,7.752915384,0.995004995,0.731268731
ASV_763,0.00306926,7.633361576,1,0.748251748
ASV_83,0.988874535,7.154088277,0.999000999,0.812187812
ASV_420,0.718252645,6.979468978,0.999000999,0.835164835
ASV_249,0.06136646,6.865128077,1,0.841158841
ASV_34,0.950085941,6.792303502,0.999000999,0.842157842
ASV_54,1.973539608,6.706812584,0.997002997,0.85014985
ASV_147,1.418312059,6.373481983,0.999000999,0.883116883
ASV_39,2.260674252,6.334838497,0.995004995,0.884115884
ASV_316,1.470161268,6.15370013,0.999000999,0.891108891
ASV_94,1.179747335,5.913269509,0.999000999,0.901098901
ASV_100,2.616607476,5.813158171,0.992007992,0.914085914
ASV_3,2.896007778,5.64401037,0.99000999,0.926073926
ASV_497,0.698005877,5.472034128,0.999000999,0.94005994
ASV_423,0.138162009,5.336612507,1,0.945054945
ASV_1053,2.848631275,5.297295382,0.991008991,0.951048951
ASV_312,2.845421947,5.281253099,0.991008991,0.958041958
ASV_1062,2.828008539,5.182473086,0.992007992,0.96003996
ASV_581,2.818453331,5.13064375,0.992007992,0.96003996
ASV_2014,2.841762346,5.259859887,0.992007992,0.96003996
ASV_1637,2.829970714,5.193835186,0.992007992,0.96003996
ASV_1753,2.832927703,5.210206947,0.992007992,0.96003996
ASV_244,1.362663708,5.033936553,0.999000999,0.96003996
ASV_278,0.015022007,5.132394342,1,0.96003996
ASV_18,2.470556708,4.919651218,0.992007992,0.963036963
ASV_124,1.156324856,4.923176045,0.999000999,0.963036963
ASV_41,2.14765736,4.786422467,0.995004995,0.968031968
ASV_785,0.534588542,4.699650044,0.999000999,0.968031968
ASV_99,0.006440051,4.780419845,1,0.968031968
ASV_77,1.259415431,4.586922687,0.999000999,0.971028971
ASV_415,4.350959418,4.510571933,0.942057942,0.978021978
ASV_442,1.842492691,4.513328799,0.998001998,0.978021978
ASV_86,0.377922299,4.356516018,1,0.978021978
ASV_188,1.266285223,4.320228396,0.999000999,0.979020979
ASV_52,1.264089283,4.29204915,0.999000999,0.979020979
ASV_78,0.992316958,4.226149155,0.999000999,0.981018981
ASV_40,0.597313764,4.157026767,0.999000999,0.985014985
ASV_72,1.766427464,4.072914553,0.998001998,0.987012987
ASV_114,1.755221587,4.030264451,0.998001998,0.987012987
ASV_47,0.558681301,4.130075925,0.999000999,0.987012987
ASV_13,1.26905132,4.132839596,0.999000999,0.987012987
ASV_177,0.477158055,4.027930119,0.999000999,0.987012987
ASV_186,0.006220263,3.834865924,1,0.987012987
ASV_92,4.609422649,3.574671471,0.918081918,0.992007992
ASV_256,4.390437441,3.626456982,0.938061938,0.992007992
ASV_112,4.28633085,3.083130735,0.944055944,0.992007992
ASV_724,3.70372239,3.216533042,0.965034965,0.992007992
ASV_46,2.498614432,3.378584812,0.992007992,0.992007992
ASV_692,2.841727973,3.308260157,0.992007992,0.992007992
ASV_71,2.713864563,3.081996662,0.992007992,0.992007992
ASV_241,2.719050263,3.633318452,0.992007992,0.992007992
ASV_345,2.249983678,3.032593228,0.995004995,0.992007992
ASV_70,1.451077556,3.261262358,0.999000999,0.992007992
ASV_7,1.384445614,2.912583435,0.999000999,0.992007992
ASV_59,1.143151526,3.293475415,0.999000999,0.992007992
ASV_369,1.035895642,3.015053383,0.999000999,0.992007992
ASV_153,0.778767366,2.88923503,0.999000999,0.992007992
ASV_1005,0.148451959,3.537573162,1,0.992007992
ASV_556,0.120694783,2.673144177,1,0.992007992
ASV_168,4.421517897,2.168151549,0.931068931,0.994005994
ASV_295,3.961786064,1.995977188,0.956043956,0.994005994
ASV_358,3.683796747,2.423087182,0.965034965,0.994005994
ASV_1004,1.845558334,1.87289732,0.998001998,0.994005994
ASV_548,1.375981106,2.399712724,0.999000999,0.994005994
ASV_37,1.25963424,1.783848805,0.999000999,0.994005994
ASV_1705,1.375607192,2.398078157,0.999000999,0.994005994
ASV_936,0.975832,2.333239207,0.999000999,0.994005994
ASV_1050,1.375722074,2.398579538,0.999000999,0.994005994
ASV_418,1.064118556,2.488396791,0.999000999,0.994005994
ASV_441,0.827493322,2.412212894,0.999000999,0.994005994
ASV_1735,1.375607192,2.398078157,0.999000999,0.994005994
ASV_233,1.278452984,2.479925905,0.999000999,0.994005994
ASV_81,1.559093362,1.936065608,0.999000999,0.994005994
ASV_82,1.375509788,2.397653788,0.999000999,0.994005994
ASV_988,0.074073481,2.481485955,1,0.994005994
ASV_142,0.006770796,1.925767164,1,0.994005994
ASV_157,0.327510502,2.213307195,1,0.994005994
ASV_1267,0.004640291,2.262243817,1,0.994005994
ASV_183,2.63E-07,2.298017042,1,0.994005994
ASV_26,0.174349429,1.648323018,1,0.997002997
ASV_250,1.48157583,1.61746617,0.999000999,0.998001998
ASV_304,0.914826346,1.575069091,0.999000999,0.998001998
ASV_216,0.672398124,1.393399415,0.999000999,0.999000999
ASV_212,0.019066835,1.141488613,1,0.999000999
ASV_135,0.245750654,1.346133661,1,0.999000999
ASV_163,0.023059452,1.407547519,1,0.999000999
ASV_1078,7.54E-06,1.228620793,1,0.999000999
ASV_513,0.020320525,1.04567632,1,0.999000999
ASV_118,30.25997616,0.139876179,0.000999001,1
ASV_313,6.612204369,0.467619476,0.619380619,1
ASV_10,6.469361863,0.824516721,0.648351648,1
ASV_91,4.089045147,0.920666257,0.951048951,1
ASV_222,3.756168311,0.242299265,0.963036963,1
ASV_134,3.517589359,0.121595896,0.965034965,1
ASV_93,2.935417798,0.155528619,0.988011988,1
ASV_19,2.425228383,0.835994661,0.992007992,1
ASV_53,2.423651218,0.864723528,0.992007992,1
ASV_79,2.79876805,0.94994781,0.992007992,1
ASV_29,0.612724518,0.235363873,0.999000999,1
ASV_224,1.615883121,0.845331501,0.999000999,1
ASV_74,0.495009465,1.008003442,0.999000999,1
ASV_127,0.972488554,0.861360792,0.999000999,1
ASV_327,0.073173588,0.086445763,1,1
ASV_243,0.22074538,0.513160787,1,1
ASV_916,0.100613842,0.579055649,1,1
ASV_143,0.442518009,0.646198409,1,1
ASV_136,0.29862976,1.025183573,1,1