,Type,Salinity,Sediment,Root,Sample_num,interaction
X1,Rhizo,Ambient,Intact,Intact,X1,Ambient_Intact_Intact
X10,Rhizo,Ambient,Intact,Disrupted,X10,Ambient_Intact_Disrupted
X11,Rhizo,Ambient,Intact,Disrupted,X11,Ambient_Intact_Disrupted
X12,Rhizo,Ambient,Intact,Disrupted,X12,Ambient_Intact_Disrupted
X2,Rhizo,Ambient,Intact,Intact,X2,Ambient_Intact_Intact
X3,Rhizo,Ambient,Intact,Intact,X3,Ambient_Intact_Intact
X39,Rhizo,Medium,Intact,Intact,X39,Medium_Intact_Intact
X4,Rhizo,Ambient,Intact,Intact,X4,Ambient_Intact_Intact
X40,Rhizo,Medium,Intact,Intact,X40,Medium_Intact_Intact
X41,Rhizo,Medium,Intact,Intact,X41,Medium_Intact_Intact
X42,Rhizo,Medium,Intact,Intact,X42,Medium_Intact_Intact
X43,Rhizo,Medium,Intact,Intact,X43,Medium_Intact_Intact
X44,Rhizo,Medium,Intact,Intact,X44,Medium_Intact_Intact
X45,Rhizo,Medium,Intact,Disrupted,X45,Medium_Intact_Disrupted
X46,Rhizo,Medium,Intact,Disrupted,X46,Medium_Intact_Disrupted
X47,Rhizo,Medium,Intact,Disrupted,X47,Medium_Intact_Disrupted
X48,Rhizo,Medium,Intact,Disrupted,X48,Medium_Intact_Disrupted
X49,Rhizo,Medium,Intact,Disrupted,X49,Medium_Intact_Disrupted
X5,Rhizo,Ambient,Intact,Intact,X5,Ambient_Intact_Intact
X50,Rhizo,Medium,Intact,Disrupted,X50,Medium_Intact_Disrupted
X6,Rhizo,Ambient,Intact,Intact,X6,Ambient_Intact_Intact
X7,Rhizo,Ambient,Intact,Disrupted,X7,Ambient_Intact_Disrupted
X77,Rhizo,Low,Intact,Intact,X77,Low_Intact_Intact
X78,Rhizo,Low,Intact,Intact,X78,Low_Intact_Intact
X79,Rhizo,Low,Intact,Intact,X79,Low_Intact_Intact
X8,Rhizo,Ambient,Intact,Disrupted,X8,Ambient_Intact_Disrupted
X80,Rhizo,Low,Intact,Intact,X80,Low_Intact_Intact
X81,Rhizo,Low,Intact,Intact,X81,Low_Intact_Intact
X82,Rhizo,Low,Intact,Intact,X82,Low_Intact_Intact
X83,Rhizo,Low,Intact,Disupted,X83,Low_Intact_Disupted
X84,Rhizo,Low,Intact,Disupted,X84,Low_Intact_Disupted
X85,Rhizo,Low,Intact,Disupted,X85,Low_Intact_Disupted
X86,Rhizo,Low,Intact,Disupted,X86,Low_Intact_Disupted
X87,Rhizo,Low,Intact,Disupted,X87,Low_Intact_Disupted
X88,Rhizo,Low,Intact,Disupted,X88,Low_Intact_Disupted
X9,Rhizo,Ambient,Intact,Disrupted,X9,Ambient_Intact_Disrupted
ISR1,Rhizo,Ambient,Intact,Intact,ISR1,Ambient_Intact_Intact
ISR3,Rhizo,Ambient,Intact,Intact,ISR3,Ambient_Intact_Intact
ISR4,Rhizo,Ambient,Intact,Intact,ISR4,Ambient_Intact_Intact