Sample,Salinity,Root,Distance
X1,Ambient,Intact,33.409
X10,Ambient,Disrupted,27.934
X11,Ambient,Disrupted,26.745
X12,Ambient,Disrupted,31.313
X2,Ambient,Intact,34.3
X3,Ambient,Intact,35.401
X39,Medium,Intact,29.275
X4,Ambient,Intact,32.124
X40,Medium,Intact,33.92
X41,Medium,Intact,29.231
X42,Medium,Intact,29.574
X43,Medium,Intact,43.981
X44,Medium,Intact,26.472
X46,Medium,Disrupted,28.351
X47,Medium,Disrupted,25.838
X48,Medium,Disrupted,26.964
X49,Medium,Disrupted,31.985
X5,Ambient,Intact,41.653
X50,Medium,Disrupted,25.686
X6,Ambient,Intact,30.438
X7,Ambient,Disrupted,30.024
X77,Low,Intact,46.381
X78,Low,Intact,45.705
X79,Low,Intact,35.409
X8,Ambient,Disrupted,33.496
X80,Low,Intact,38.066
X81,Low,Intact,35.437
X82,Low,Intact,37.21
X83,Low,Disrupted,26.903
X84,Low,Disrupted,27.035
X85,Low,Disrupted,48.567
X86,Low,Disrupted,27.997
X87,Low,Disrupted,27.023
X88,Low,Disrupted,26.044
X9,Ambient,Disrupted,25.823